date,action,symbol,price,shares
2026-01-22,BUY,MU,391.1124,3275.3746
2026-01-27,SELL,LITE,339.49,4361.7575
2026-01-28,BUY,WDC,252.6205,5852.2713
2026-02-10,SELL,MU,382.1858,3275.3746
2026-02-11,BUY,LITE,560.3881,2230.2372
2026-03-03,SELL,WDC,270.1499,5852.2713
2026-03-04,BUY,MU,377.0,4186.8991
2026-03-23,SELL,SNDK,717.0,6953.6127
2026-03-23,SELL,LITE,739.01,2230.2372
2026-03-23,SELL,MU,413.25,4186.8991
2026-04-15,BUY,SNDK,934.4199,2978.9484
2026-04-15,BUY,LITE,854.0,3259.4715
2026-04-15,BUY,WDC,363.5,7657.7405
2026-05-12,SELL,WDC,513.17,7657.7405
2026-05-13,BUY,INTC,120.31,32611.0727
2026-05-27,SELL,LITE,898.88,3259.4715
2026-05-28,BUY,MU,931.12,3141.5797
2026-06-02,SELL,INTC,108.85,32611.0727
2026-06-03,BUY,ARM,404.02,8771.9377
2026-06-09,SELL,ARM,348.75,8771.9377
2026-06-10,BUY,MRVL,270.75,11280.9619
2026-06-16,SELL,MU,1080.64,3141.5797
2026-06-17,BUY,ARM,395.11,8578.5912
2026-06-23,SELL,ARM,407.82,8578.5912
